ID,Код заказа,Дата создания,Время заказа,Код клиента,Услуги,Статус,Дата закрытия,Время проката
1,45462526/12.03.2022,12.03.2022,9:10,45462526,"34, 31, 353, 336",Новая,,120 минут
2,45462527/13.03.2022,13.03.2022,10:10,45462527,"98, 45, 89, 99, 123",В прокате,,600 минут
3,45462528/14.03.2022,14.03.2022,11:10,45462528,"92, 45, 57, 88",В прокате,,2 часа
4,45462529/15.03.2022,15.03.2022,12:10,45462529,"92, 45, 57, 88, 44",Новая,,10 часов
5,45462530/16.03.2022,16.03.2022,13:10,45462530,"98, 45, 89, 353, 336, 34",Закрыта,16.04.2022,320 минут
6,45462531/17.03.2022,17.03.2022,14:10,45462531,"34, 31, 353, 337",Новая,,480 минут
7,45462532/18.03.2022,18.03.2022,15:10,45462532,"98, 45, 89, 99, 124",Новая,,4 часа
8,45462533/19.03.2022,19.03.2022,16:10,45462533,"92, 45, 57, 89",В прокате,,6 часов
9,45462534/20.03.2022,20.03.2022,10:00,45462534,"92, 45, 57, 88, 45",В прокате,,12 часов
10,45462535/21.03.2022,21.03.2022,11:00,45462535,"98, 45, 89, 353, 336, 35",Новая,,120 минут
11,45462536/22.03.2022,22.03.2022,12:00,45462536,"34, 31, 353, 338",Закрыта,22.03.2022,600 минут
12,45462537/23.03.2022,23.03.2022,13:00,45462537,"98, 45, 89, 99, 125",В прокате,,2 часа
13,45462538/24.03.2022,24.03.2022,14:00,45462538,"92, 45, 57, 90",В прокате,,10 часов
14,45462539/25.03.2022,25.03.2022,15:00,45462539,"92, 45, 57, 88, 46",В прокате,,320 минут
15,45462540/26.03.2022,26.03.2022,16:00,45462540,"98, 45, 89, 353, 336, 36",Закрыта,26.04.2022,480 минут
16,45462541/27.03.2022,27.03.2022,17:00,45462541,"34, 31, 353, 339",Новая,,4 часа
17,45462542/28.03.2022,28.03.2022,18:00,45462542,"98, 45, 89, 99, 126",В прокате,,6 часов
18,45462543/29.03.2022,29.03.2022,19:00,45462543,"92, 45, 57, 91",В прокате,,12 часов
19,45462544/30.03.2022,30.03.2022,12:30,45462544,"92, 45, 57, 88, 47",Новая,,120 минут
20,45462545/31.03.2022,31.03.2022,13:30,45462545,"98, 45, 89, 353, 336, 37",Новая,,600 минут
21,45462546/01.04.2022,01.04.2022,14:30,45462546,"34, 31, 353, 340",Закрыта,01.04.2022,2 часа
22,45462547/02.04.2022,02.04.2022,15:30,45462547,"98, 45, 89, 99, 127",Новая,,10 часов
23,45462548/03.04.2022,03.04.2022,16:30,45462548,"92, 45, 57, 92",Новая,,320 минут
24,45462549/04.04.2022,04.04.2022,17:30,45462549,"92, 45, 57, 88, 48",В прокате,,480 минут
25,45462550/05.04.2022,05.04.2022,18:30,45462550,"98, 45, 89, 353, 336, 38",В прокате,,4 часа
26,45462551/06.04.2022,06.04.2022,15:30,45462551,"34, 31, 353, 341",В прокате,,6 часов
27,45462552/07.04.2022,07.04.2022,16:30,45462552,"98, 45, 89, 99, 128",В прокате,,12 часов
28,45462553/08.04.2022,08.04.2022,17:30,45462553,"92, 45, 57, 93",Закрыта,08.04.2022,120 минут
29,45462554/09.04.2022,09.04.2022,18:30,45462554,"92, 45, 57, 88, 49",Новая,,600 минут
30,45462555/10.04.2022,10.04.2022,19:30,45462555,"98, 45, 89, 353, 336, 39",В прокате,,2 часа
31,45462556/11.04.2022,11.04.2022,10:30,45462556,"34, 31, 353, 342",В прокате,,10 часов
32,45462557/12.04.2022,12.04.2022,11:30,45462557,"98, 45, 89, 99, 129",Новая,,320 минут
33,45462558/13.04.2022,13.04.2022,12:30,45462558,"92, 45, 57, 94",Новая,,480 минут
34,45462559/14.04.2022,14.04.2022,13:30,45462559,"92, 45, 57, 88, 50",Новая,,4 часа
35,45462560/15.04.2022,15.04.2022,14:30,45462560,"98, 45, 89, 353, 336, 40",В прокате,,6 часов
36,45462561/02.04.2022,02.04.2022,15:30,45462561,"34, 31, 353, 343",В прокате,,12 часов
37,45462562/03.04.2022,03.04.2022,16:30,45462562,"98, 45, 89, 99, 130",В прокате,,120 минут
38,45462563/04.04.2022,04.04.2022,17:30,45462563,"92, 45, 57, 95",Закрыта,04.04.2022,600 минут
39,45462564/05.04.2022,05.04.2022,10:15,45462564,"92, 45, 57, 88, 51",В прокате,,2 часа
40,45462565/06.04.2022,06.04.2022,11:15,45462565,"98, 45, 89, 353, 336, 41",Новая,,10 часов
41,45462566/07.04.2022,07.04.2022,12:15,45462566,"34, 31, 353, 344",Закрыта,07.04.2022,320 минут
42,45462567/08.04.2022,08.04.2022,13:15,45462567,"98, 45, 89, 99, 131",В прокате,,480 минут
43,45462568/09.04.2022,09.04.2022,14:15,45462568,"92, 45, 57, 96",В прокате,,4 часа
44,45462569/01.04.2022,01.04.2022,15:15,45462569,"92, 45, 57, 88, 52",В прокате,,6 часов
45,45462570/02.04.2022,02.04.2022,16:15,45462570,"98, 45, 89, 353, 336, 42",В прокате,,12 часов
46,45462571/03.04.2022,03.04.2022,10:45,45462571,"34, 31, 353, 345",В прокате,,480 минут
47,45462572/04.04.2022,04.04.2022,11:45,45462572,"98, 45, 89, 99, 132",Закрыта,04.04.2022,320 минут
48,45462573/05.04.2022,05.04.2022,12:45,45462573,"92, 45, 57, 97",Новая,,480 минут
49,45462574/06.04.2022,06.04.2022,13:45,45462574,"92, 45, 57, 88, 53",Новая,,4 часа
50,45462575/07.04.2022,07.04.2022,14:45,45462575,"98, 45, 89, 353, 336, 43",Новая,,6 часов
