ID,Наименование услуги,Код услуги,"Стоимость, руб.  за час "
336,Прокат лыж,8HFJHG443,800
353,Прокат лыжных палок,87FDJKHJ,100
31,Прокат сноуборда,JUR8R,1200
34,Прокат обуви для сноуборда,JKFBJ09,400
98,Прокат шлема,63748HF,300
45,Прокат защитных подушек для сноубордистов,JFH7382,300
89,Прокат очков для лыжников,OIJNB12,150
99,Прокат вартушки,BSFBHV63,100
92,Прокат санок,HJBUJE21J,300
44,Прокат салазок,DHBGFY563,450
57,Подъем на 1 уровень,JHVSJF6,300
88,Подъем на 2  уровень,DJHGBS982,700
123,Подъем на 3 уровень,638VVNQ3,1200
